config	id	target_txt	prediction
min = -5.0 - max = 15.0 - p = 0.5	pert_min_-5.0_max_15.0_p_0.5_2cd735e7-9390-415...	dort bewegen sich sehr viele jugendliche	dort bewegen sich sehr viele jugendliche
min = -5.0 - max = 15.0 - p = 0.8	pert_min_-5.0_max_15.0_p_0.8_2cd735e7-9390-415...	dort bewegen sich sehr viele jugendliche	dort bewegen sie sehr schwierige auswirkungen
min = -50.0 - max = 5.0 - p = 0.8	pert_min_-50.0_max_5.0_p_0.8_2cd735e7-9390-415...	dort bewegen sich sehr viele jugendliche	topper werden in die session seinen jugendlichen
min = -5.0 - max = 50.0 - p = 0.2	pert_min_-5.0_max_50.0_p_0.2_2cd735e7-9390-415...	dort bewegen sich sehr viele jugendliche	dort geht es um viele jugendliche
min = -50.0 - max = 5.0 - p = 0.5	pert_min_-50.0_max_5.0_p_0.5_2cd735e7-9390-415...	dort bewegen sich sehr viele jugendliche	dort bewegen sich sehr viele jugendliche
min = -5.0 - max = 50.0 - p = 0.5	pert_min_-5.0_max_50.0_p_0.5_2cd735e7-9390-415...	dort bewegen sich sehr viele jugendliche	dort bereiten sich sehr jugendliche
min = -50.0 - max = 5.0 - p = 0.2	pert_min_-50.0_max_5.0_p_0.2_2cd735e7-9390-415...	dort bewegen sich sehr viele jugendliche	dort bewegen sich sehr viele jugendliche
min = -5.0 - max = 5.0 - p = 0.5	pert_min_-5.0_max_5.0_p_0.5_2cd735e7-9390-415e...	dort bewegen sich sehr viele jugendliche	dort bewegen sich sehr kirche jugendliche
min = -50.0 - max = 50.0 - p = 0.2	pert_min_-50.0_max_50.0_p_0.2_2cd735e7-9390-41...	dort bewegen sich sehr viele jugendliche	dort bewegen sich sehr viele jugendliche
min = -15.0 - max = 50.0 - p = 0.8	pert_min_-15.0_max_50.0_p_0.8_2cd735e7-9390-41...	dort bewegen sich sehr viele jugendliche	dort bewegen sie ihre jugendliche
min = -15.0 - max = 15.0 - p = 0.8	pert_min_-15.0_max_15.0_p_0.8_2cd735e7-9390-41...	dort bewegen sich sehr viele jugendliche	ja bereiten sich sehr viele jugendliche
min = -15.0 - max = 50.0 - p = 0.2	pert_min_-15.0_max_50.0_p_0.2_2cd735e7-9390-41...	dort bewegen sich sehr viele jugendliche	dort bewegen sich sehr viele untersuchungen
min = -50.0 - max = 50.0 - p = 0.5	pert_min_-50.0_max_50.0_p_0.5_2cd735e7-9390-41...	dort bewegen sich sehr viele jugendliche	dort bewegen sich sehr viele jugendliche
min = -15.0 - max = 50.0 - p = 0.5	pert_min_-15.0_max_50.0_p_0.5_2cd735e7-9390-41...	dort bewegen sich sehr viele jugendliche	dort bewegen diese ist sehr jugendliche
min = -15.0 - max = 5.0 - p = 0.8	pert_min_-15.0_max_5.0_p_0.8_2cd735e7-9390-415...	dort bewegen sich sehr viele jugendliche	dort bewegen sie sehr viele jugendliche
min = -15.0 - max = 5.0 - p = 0.2	pert_min_-15.0_max_5.0_p_0.2_2cd735e7-9390-415...	dort bewegen sich sehr viele jugendliche	darber legen sich sehr viele ungültige
min = -5.0 - max = 5.0 - p = 0.2	pert_min_-5.0_max_5.0_p_0.2_2cd735e7-9390-415e...	dort bewegen sich sehr viele jugendliche	dort bewegen sich sehr viele jugendliche
min = -15.0 - max = 5.0 - p = 0.5	pert_min_-15.0_max_5.0_p_0.5_2cd735e7-9390-415...	dort bewegen sich sehr viele jugendliche	dort bereits sehr viele jugendliche
min = -5.0 - max = 5.0 - p = 0.5	pert_min_-5.0_max_5.0_p_0.5_b842e6ab-90eb-4115...	wir kommen zur abstimmung	wir kommen zur abstimmung
min = -50.0 - max = 50.0 - p = 0.2	pert_min_-50.0_max_50.0_p_0.2_b842e6ab-90eb-41...	wir kommen zur abstimmung	wir kommen zur abstimmung
min = -15.0 - max = 15.0 - p = 0.5	pert_min_-15.0_max_15.0_p_0.5_b842e6ab-90eb-41...	wir kommen zur abstimmung	wir kommen zur abstimmung
min = -5.0 - max = 50.0 - p = 0.2	pert_min_-5.0_max_50.0_p_0.2_b842e6ab-90eb-411...	wir kommen zur abstimmung	wir kommen zur abstimmung
min = -50.0 - max = 5.0 - p = 0.8	pert_min_-50.0_max_5.0_p_0.8_b842e6ab-90eb-411...	wir kommen zur abstimmung	wir kommen zur abstimmung
min = -15.0 - max = 5.0 - p = 0.8	pert_min_-15.0_max_5.0_p_0.8_b842e6ab-90eb-411...	wir kommen zur abstimmung	wir kommen zur abstimmung
min = -50.0 - max = 5.0 - p = 0.5	pert_min_-50.0_max_5.0_p_0.5_b842e6ab-90eb-411...	wir kommen zur abstimmung	wir kommen zur abstimmung
min = -50.0 - max = 5.0 - p = 0.2	pert_min_-50.0_max_5.0_p_0.2_b842e6ab-90eb-411...	wir kommen zur abstimmung	wir kommen zur abstimmung
min = -15.0 - max = 15.0 - p = 0.8	pert_min_-15.0_max_15.0_p_0.8_b842e6ab-90eb-41...	wir kommen zur abstimmung	wir kommen zur abstimmung
min = -5.0 - max = 15.0 - p = 0.8	pert_min_-5.0_max_15.0_p_0.8_b842e6ab-90eb-411...	wir kommen zur abstimmung	wir kommen zur abstimmung
min = -5.0 - max = 50.0 - p = 0.5	pert_min_-5.0_max_50.0_p_0.5_b842e6ab-90eb-411...	wir kommen zur abstimmung	wir kommen zur abstimmung
min = -15.0 - max = 15.0 - p = 0.2	pert_min_-15.0_max_15.0_p_0.2_b842e6ab-90eb-41...	wir kommen zur abstimmung	wir kommen zur abstimmung
min = -5.0 - max = 5.0 - p = 0.2	pert_min_-5.0_max_5.0_p_0.2_b842e6ab-90eb-4115...	wir kommen zur abstimmung	wir kommen zur abstimmung
min = -15.0 - max = 50.0 - p = 0.2	pert_min_-15.0_max_50.0_p_0.2_b842e6ab-90eb-41...	wir kommen zur abstimmung	wir kommen zur abstimmung
min = -15.0 - max = 5.0 - p = 0.5	pert_min_-15.0_max_5.0_p_0.5_b842e6ab-90eb-411...	wir kommen zur abstimmung	wir kommen zur abstimmung
min = -5.0 - max = 15.0 - p = 0.5	pert_min_-5.0_max_15.0_p_0.5_b842e6ab-90eb-411...	wir kommen zur abstimmung	wir kommen zur abstimmung
min = -50.0 - max = 15.0 - p = 0.2	pert_min_-50.0_max_15.0_p_0.2_b842e6ab-90eb-41...	wir kommen zur abstimmung	wir kommen zur abstimmung
min = -15.0 - max = 5.0 - p = 0.2	pert_min_-15.0_max_5.0_p_0.2_b842e6ab-90eb-411...	wir kommen zur abstimmung	wir kommen zur abstimmung
min = -5.0 - max = 15.0 - p = 0.2	pert_min_-5.0_max_15.0_p_0.2_b842e6ab-90eb-411...	wir kommen zur abstimmung	wir kommen zur abstimmung
min = -50.0 - max = 15.0 - p = 0.5	pert_min_-50.0_max_15.0_p_0.5_b842e6ab-90eb-41...	wir kommen zur abstimmung	wir kommen zur abstimmung
min = -15.0 - max = 50.0 - p = 0.5	pert_min_-15.0_max_50.0_p_0.5_b842e6ab-90eb-41...	wir kommen zur abstimmung	wir kommen zur abstimmung
min = -5.0 - max = 5.0 - p = 0.8	pert_min_-5.0_max_5.0_p_0.8_b842e6ab-90eb-4115...	wir kommen zur abstimmung	wir kommen zur abstimmung
min = -50.0 - max = 50.0 - p = 0.8	pert_min_-50.0_max_50.0_p_0.8_b842e6ab-90eb-41...	wir kommen zur abstimmung	wir kommen zur abschreibung
min = -50.0 - max = 15.0 - p = 0.8	pert_min_-50.0_max_15.0_p_0.8_b842e6ab-90eb-41...	wir kommen zur abstimmung	wir kommen zur abstimmung
min = -15.0 - max = 50.0 - p = 0.8	pert_min_-15.0_max_50.0_p_0.8_b842e6ab-90eb-41...	wir kommen zur abstimmung	wir kommen zur abstimmung
min = -50.0 - max = 50.0 - p = 0.5	pert_min_-50.0_max_50.0_p_0.5_b842e6ab-90eb-41...	wir kommen zur abstimmung	wir kommen zur abstimmung
min = -5.0 - max = 50.0 - p = 0.8	pert_min_-5.0_max_50.0_p_0.8_b842e6ab-90eb-411...	wir kommen zur abstimmung	wir kommen zur abschreibung
min = -15.0 - max = 15.0 - p = 0.8	pert_min_-15.0_max_15.0_p_0.8_35ac16b9-928a-43...	als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte tauchte ich in ganz andere dimensionen ein was umzäunungen und vor allem auch kosten betrifft	als ich mich mit diesem thema zaunanlage st johannsen als eine andere dimension eintauchte was umzäunung und vor allem auch kosten betrifft
min = -50.0 - max = 50.0 - p = 0.8	pert_min_-50.0_max_50.0_p_0.8_35ac16b9-928a-43...	als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte tauchte ich in ganz andere dimensionen ein was umzäunungen und vor allem auch kosten betrifft	als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte tauchte ich in ganz andere dimensionen ein was umzäunung und vor allem auch kosten betrifft
min = -15.0 - max = 50.0 - p = 0.2	pert_min_-15.0_max_50.0_p_0.2_35ac16b9-928a-43...	als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte tauchte ich in ganz andere dimensionen ein was umzäunungen und vor allem auch kosten betrifft	als ich mich mit diesem thema zaunanlagekosten auseinandergesetzt habe tauchte ich eine ganz andere dimension ein wo es umzäunung und vor allem auch kosten betrifft
min = -5.0 - max = 5.0 - p = 0.2	pert_min_-5.0_max_5.0_p_0.2_35ac16b9-928a-43cd...	als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte tauchte ich in ganz andere dimensionen ein was umzäunungen und vor allem auch kosten betrifft	wenn ich mich eine zaunanlage st johannsen auseinandergesetzt habe tauchte ich in ganz andere dimensionen ein einzäunung und vor allem auch kosten betrifft
min = -15.0 - max = 15.0 - p = 0.2	pert_min_-15.0_max_15.0_p_0.2_35ac16b9-928a-43...	als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte tauchte ich in ganz andere dimensionen ein was umzäunungen und vor allem auch kosten betrifft	als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte tauchte ich in ganz andere dimensionen ein was umzäunung und vor allem auch kosten betrifft
min = -50.0 - max = 50.0 - p = 0.5	pert_min_-50.0_max_50.0_p_0.5_35ac16b9-928a-43...	als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte tauchte ich in ganz andere dimensionen ein was umzäunungen und vor allem auch kosten betrifft	als ich mich mit diesem thema zaunanlage st johannsen auseinandergesetzt habe tauchte ich in ganz anderen dimensionen ein wo es umzäunungen auf die strassen betrifft
min = -15.0 - max = 50.0 - p = 0.5	pert_min_-15.0_max_50.0_p_0.5_35ac16b9-928a-43...	als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte tauchte ich in ganz andere dimensionen ein was umzäunungen und vor allem auch kosten betrifft	als ich mich mit diesem thema zaunanlage st johannsen auseinandergeschätzt habe tauchte ich eine ganz andere dimension ein empfängung und vor allem auch kosten betrifft
min = -5.0 - max = 5.0 - p = 0.8	pert_min_-5.0_max_5.0_p_0.8_35ac16b9-928a-43cd...	als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte tauchte ich in ganz andere dimensionen ein was umzäunungen und vor allem auch kosten betrifft	und wenn ich mit diesem thema zaunanlage st johannsen auseinandergesetzt habe bin ich eine ganz andere dimension eingetaucht wo es umzäunung auf diese wasser betrifft
min = -5.0 - max = 5.0 - p = 0.5	pert_min_-5.0_max_5.0_p_0.5_35ac16b9-928a-43cd...	als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte tauchte ich in ganz andere dimensionen ein was umzäunungen und vor allem auch kosten betrifft	als ich mich mit diesem thema zaunanlage st johannsen auseinandersetzte tauchte ich in ganz andere dimensionen ein was umzäunung auf alle kosten betrifft
min = -50.0 - max = 15.0 - p = 0.5	pert_min_-50.0_max_15.0_p_0.5_35ac16b9-928a-43...	als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte tauchte ich in ganz andere dimensionen ein was umzäunungen und vor allem auch kosten betrifft	wenn ich mich mit dem thema zaunanlage st johannsen auseinandergesetzt habe bin ich in ganz andere dimensionen eingetaucht was umzäunung und vor allem auch kosten betrifft
min = -5.0 - max = 50.0 - p = 0.8	pert_min_-5.0_max_50.0_p_0.8_35ac16b9-928a-43c...	als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte tauchte ich in ganz andere dimensionen ein was umzäunungen und vor allem auch kosten betrifft	und ich habe mich mit dem thema zaunanlage st johannsen auseinandergesetzt bin ich in ganz andere dimensionen eingetaucht und vor allem auch kosten betrifft
min = -50.0 - max = 5.0 - p = 0.2	pert_min_-50.0_max_5.0_p_0.2_35ac16b9-928a-43c...	als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte tauchte ich in ganz andere dimensionen ein was umzäunungen und vor allem auch kosten betrifft	als ich mich mit diesem thema zaunanlage st johannsen auseinandergesetzt habe war ich in ganz andere dimensionen eingetaucht als umzäunung der kosten betrifft
min = -5.0 - max = 50.0 - p = 0.5	pert_min_-5.0_max_50.0_p_0.5_35ac16b9-928a-43c...	als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte tauchte ich in ganz andere dimensionen ein was umzäunungen und vor allem auch kosten betrifft	als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte bin ich in ganz andere dimensionen eingepunkt als umzäunung und vor allem auch kosten betrifft
min = -50.0 - max = 5.0 - p = 0.5	pert_min_-50.0_max_5.0_p_0.5_35ac16b9-928a-43c...	als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte tauchte ich in ganz andere dimensionen ein was umzäunungen und vor allem auch kosten betrifft	wenn ich mit diesem thema zaunanlage st johannsen auseinandergesetzt habe bin ich eine ganz andere dimension eingetaucht was umzäuge und vor allem auch kosten betrifft
min = -5.0 - max = 50.0 - p = 0.2	pert_min_-5.0_max_50.0_p_0.2_35ac16b9-928a-43c...	als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte tauchte ich in ganz andere dimensionen ein was umzäunungen und vor allem auch kosten betrifft	wenn ich mich mit dem thema zaunanlage st johannsen auseinandersetzte tauchte ich in ganz andere dimensionen ein einzäunung und vor allem auch kosten betrifft
min = -50.0 - max = 5.0 - p = 0.8	pert_min_-50.0_max_5.0_p_0.8_35ac16b9-928a-43c...	als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte tauchte ich in ganz andere dimensionen ein was umzäunungen und vor allem auch kosten betrifft	als ich mich mit diesem thema zaunanlage st johannsen auseinandergesetzt habe war ich in ganz andere informationen eingetaucht was umzäunung und vor allem auch kosten betrifft
min = -5.0 - max = 15.0 - p = 0.8	pert_min_-5.0_max_15.0_p_0.8_35ac16b9-928a-43c...	als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte tauchte ich in ganz andere dimensionen ein was umzäunungen und vor allem auch kosten betrifft	und wenn ich mich mit dem thema zaunahme st jahn st johannsen auseinandergesetzt habe bin ich in ganz andere dimensionen eingetroffenes entzäunung und vor allem auch kosten betrifft
min = -5.0 - max = 15.0 - p = 0.5	pert_min_-5.0_max_15.0_p_0.5_35ac16b9-928a-43c...	als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte tauchte ich in ganz andere dimensionen ein was umzäunungen und vor allem auch kosten betrifft	wenn ich mit dem thema zaunanlage studien auseinandergesetzt habe tauchte ich eine ganz andere dimensionen ein was umzäunung und vor allem an kosten betrifft
min = -50.0 - max = 15.0 - p = 0.2	pert_min_-50.0_max_15.0_p_0.2_35ac16b9-928a-43...	als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte tauchte ich in ganz andere dimensionen ein was umzäunungen und vor allem auch kosten betrifft	und ich möchte mit diesem thema zaunanlage somit johanns auseinandergesetzt eine einwohnt sonderne dimensionen einzubeziehen und das reinige und vorhandene dimensionen betrifft
min = -50.0 - max = 15.0 - p = 0.8	pert_min_-50.0_max_15.0_p_0.8_35ac16b9-928a-43...	als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte tauchte ich in ganz andere dimensionen ein was umzäunungen und vor allem auch kosten betrifft	als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte war ich in ganz andere dimensionen eingetaucht was umzäunung und vor allem auch kosten betrifft
min = -50.0 - max = 50.0 - p = 0.2	pert_min_-50.0_max_50.0_p_0.2_35ac16b9-928a-43...	als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte tauchte ich in ganz andere dimensionen ein was umzäunungen und vor allem auch kosten betrifft	als ich mich zum thema zaunanlage st johannsen auseinandersetzte war ich in ganz andere dimensionen eingetaucht als umzäunung und vor allem auch kosten betrifft
min = -5.0 - max = 15.0 - p = 0.2	pert_min_-5.0_max_15.0_p_0.2_35ac16b9-928a-43c...	als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte tauchte ich in ganz andere dimensionen ein was umzäunungen und vor allem auch kosten betrifft	wenn ich mit diesem thema zaunanlagen auseinandergesetzt habe tauchte ich eine ganz andere dimension ein wo es umzäunung und vor allem auch kosten betrifft
min = -15.0 - max = 15.0 - p = 0.5	pert_min_-15.0_max_15.0_p_0.5_35ac16b9-928a-43...	als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte tauchte ich in ganz andere dimensionen ein was umzäunungen und vor allem auch kosten betrifft	als ich mich mit diesem thema zugang st johannsen auseinandersetzte tauchte ich eine ganz andere dimension ein als umzäunung und vor allem auch kosten betrifft
min = -50.0 - max = 50.0 - p = 0.8	pert_min_-50.0_max_50.0_p_0.8_c2917c1b-e4a8-49...	wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegel in der landschaft stehen	wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume in der landschaft stehen
min = -15.0 - max = 15.0 - p = 0.8	pert_min_-15.0_max_15.0_p_0.8_c2917c1b-e4a8-49...	wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegel in der landschaft stehen	wenn wir das baldmittelland anschauen stellen wir fest dass die urbanen räume wie riegeln in der landschaft stehen
min = -50.0 - max = 5.0 - p = 0.5	pert_min_-50.0_max_5.0_p_0.5_c2917c1b-e4a8-495...	wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegel in der landschaft stehen	wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegel in der landschaft stehen
min = -15.0 - max = 15.0 - p = 0.2	pert_min_-15.0_max_15.0_p_0.2_c2917c1b-e4a8-49...	wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegel in der landschaft stehen	wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume weiter riegeln in der landschaft stehen
min = -50.0 - max = 50.0 - p = 0.2	pert_min_-50.0_max_50.0_p_0.2_c2917c1b-e4a8-49...	wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegel in der landschaft stehen	wenn wir das berner mittel anschauen stellen wir fest dass die urbanen räume wie riegeln in der landschaft stehen
min = -50.0 - max = 15.0 - p = 0.8	pert_min_-50.0_max_15.0_p_0.8_c2917c1b-e4a8-49...	wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegel in der landschaft stehen	wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegeln in der landschaft stehen
min = -15.0 - max = 5.0 - p = 0.5	pert_min_-15.0_max_5.0_p_0.5_c2917c1b-e4a8-495...	wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegel in der landschaft stehen	wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegeln in der landschaft stehen
min = -15.0 - max = 5.0 - p = 0.2	pert_min_-15.0_max_5.0_p_0.2_c2917c1b-e4a8-495...	wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegel in der landschaft stehen	wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegeln in der landschaft stehen
min = -15.0 - max = 5.0 - p = 0.8	pert_min_-15.0_max_5.0_p_0.8_c2917c1b-e4a8-495...	wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegel in der landschaft stehen	wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegeln in der landschaft stehen
min = -50.0 - max = 15.0 - p = 0.2	pert_min_-50.0_max_15.0_p_0.2_c2917c1b-e4a8-49...	wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegel in der landschaft stehen	wenn wir das berner mittel anschauen stellen wir fest dass die urbanen räume wie riegeln in der landschaft stehen
min = -50.0 - max = 50.0 - p = 0.5	pert_min_-50.0_max_50.0_p_0.5_c2917c1b-e4a8-49...	wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegel in der landschaft stehen	wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegeln in der landschaft stehen
min = -50.0 - max = 15.0 - p = 0.5	pert_min_-50.0_max_15.0_p_0.5_c2917c1b-e4a8-49...	wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegel in der landschaft stehen	wenn wir das berner monat anschauen stellen wir fest dass die urbanen räume wie riegeln in der landschaft stehen
min = -15.0 - max = 15.0 - p = 0.5	pert_min_-15.0_max_15.0_p_0.5_c2917c1b-e4a8-49...	wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegel in der landschaft stehen	wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume weitereigeln in der landschaft stehen
min = -50.0 - max = 5.0 - p = 0.2	pert_min_-50.0_max_5.0_p_0.2_c2917c1b-e4a8-495...	wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegel in der landschaft stehen	wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegeln die landschaft stehen
min = -5.0 - max = 50.0 - p = 0.2	pert_min_-5.0_max_50.0_p_0.2_c2917c1b-e4a8-495...	wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegel in der landschaft stehen	wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume in der landschaft stehen
min = -15.0 - max = 50.0 - p = 0.2	pert_min_-15.0_max_50.0_p_0.2_c2917c1b-e4a8-49...	wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegel in der landschaft stehen	wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegeln in der landschaft stehen
min = -15.0 - max = 50.0 - p = 0.8	pert_min_-15.0_max_50.0_p_0.8_c2917c1b-e4a8-49...	wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegel in der landschaft stehen	wenn wir das berner mittelland anschauen stellen wir fest dass die kantone bahnenräume wie riegeln in der landschaft stehen
min = -15.0 - max = 50.0 - p = 0.5	pert_min_-15.0_max_50.0_p_0.5_c2917c1b-e4a8-49...	wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegel in der landschaft stehen	wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie regeln in der landschaft stehen
min = -5.0 - max = 5.0 - p = 0.5	pert_min_-5.0_max_5.0_p_0.5_c2917c1b-e4a8-495d...	wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegel in der landschaft stehen	wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegeln in der landschaft stehen
min = -5.0 - max = 15.0 - p = 0.8	pert_min_-5.0_max_15.0_p_0.8_c2917c1b-e4a8-495...	wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegel in der landschaft stehen	wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegeln in der landschaft stehen
min = -5.0 - max = 15.0 - p = 0.2	pert_min_-5.0_max_15.0_p_0.2_c2917c1b-e4a8-495...	wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegel in der landschaft stehen	wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegeln in der landschaft stehen
min = -5.0 - max = 15.0 - p = 0.5	pert_min_-5.0_max_15.0_p_0.5_c2917c1b-e4a8-495...	wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegel in der landschaft stehen	wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegeln in der landschaft stehen
min = -5.0 - max = 5.0 - p = 0.8	pert_min_-5.0_max_5.0_p_0.8_c2917c1b-e4a8-495d...	wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegel in der landschaft stehen	wenn wir das berner mittel anschauen stellen wir fest dass die urbanen räume wie riegeln in der landschaft stehen
min = -5.0 - max = 50.0 - p = 0.5	pert_min_-5.0_max_50.0_p_0.5_c2917c1b-e4a8-495...	wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegel in der landschaft stehen	wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie regeln in der landschaft stehen
min = -50.0 - max = 5.0 - p = 0.8	pert_min_-50.0_max_5.0_p_0.8_c2917c1b-e4a8-495...	wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegel in der landschaft stehen	wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegeln in der landschaft stehen
min = -50.0 - max = 5.0 - p = 0.5	pert_min_-50.0_max_5.0_p_0.5_e1f2c597-43ea-409...	meiner meinung nach ist das ganz ein schlechter ratschlag denn ich bin der meinung wir müssen uns bewusst sein es gibt nur ein miteinander und nicht ein gegeneinander bauern bäuerinnen und die konsumentinnen und konsumenten	wir sind der meinung dass es so schlechte herr randschau ist und auch jene der mechanismus und wir müssen ein emossiertes thema haben und jetzt ein gegenkommen korrekturinnen und konsumenten erhalten
