,config,id,target_txt,prediction
85,min = -15.0 - max = 5.0 - p = 0.5,pert_min_-15.0_max_5.0_p_0.5_c2917c1b-e4a8-495...,wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegel in der landschaft stehen,wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegeln in der landschaft stehen
87,min = -15.0 - max = 5.0 - p = 0.8,pert_min_-15.0_max_5.0_p_0.8_c2917c1b-e4a8-495...,wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegel in der landschaft stehen,wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegeln in der landschaft stehen
127,min = -15.0 - max = 5.0 - p = 0.8,pert_min_-15.0_max_5.0_p_0.8_35ac16b9-928a-43c...,als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte tauchte ich in ganz andere dimensionen ein was umzäunungen und vor allem auch kosten betrifft,wenn ich mich mit diesem thema zaunanlage st johannsam gesetzt habe war ich in ganz andere dimensionen eingetaucht als umzäunung und vor allem auch kosten betrifft
34,min = -15.0 - max = 5.0 - p = 0.8,pert_min_-15.0_max_5.0_p_0.8_b842e6ab-90eb-411...,wir kommen zur abstimmung,wir kommen zur abstimmung
25,min = -15.0 - max = 5.0 - p = 0.8,pert_min_-15.0_max_5.0_p_0.8_2cd735e7-9390-415...,dort bewegen sich sehr viele jugendliche,dort bewegen sie sehr viele jugendliche
110,min = -15.0 - max = 5.0 - p = 0.8,pert_min_-15.0_max_5.0_p_0.8_e1f2c597-43ea-409...,meiner meinung nach ist das ganz ein schlechter ratschlag denn ich bin der meinung wir müssen uns bewusst sein es gibt nur ein miteinander und nicht ein gegeneinander bauern bäuerinnen und die konsumentinnen und konsumenten,meiner meinung nach ist dies ein sehr schlechter ratschlag weil ich bin der meinung man müsse uns bewusst sein es gebe nur ein miteinander und kein gegeneinander bauernbäuerinnen und bauern und konsumenten
94,min = -15.0 - max = 50.0 - p = 0.2,pert_min_-15.0_max_50.0_p_0.2_c2917c1b-e4a8-49...,wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegel in der landschaft stehen,wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegeln in der landschaft stehen
108,min = -15.0 - max = 50.0 - p = 0.2,pert_min_-15.0_max_50.0_p_0.2_e1f2c597-43ea-40...,meiner meinung nach ist das ganz ein schlechter ratschlag denn ich bin der meinung wir müssen uns bewusst sein es gibt nur ein miteinander und nicht ein gegeneinander bauern bäuerinnen und die konsumentinnen und konsumenten,meiner meinung nach ist dies ein ganz schlechter ratschlag weil ich bin der meinung man müsse uns bewusst sei nicht nur ein miteinander und kein gegeneinander bauern bäuerinnen und konsumenten und konsumenten
42,min = -15.0 - max = 50.0 - p = 0.2,pert_min_-15.0_max_50.0_p_0.2_b842e6ab-90eb-41...,wir kommen zur abstimmung,wir kommen zur abstimmung
58,min = -15.0 - max = 50.0 - p = 0.2,pert_min_-15.0_max_50.0_p_0.2_35ac16b9-928a-43...,als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte tauchte ich in ganz andere dimensionen ein was umzäunungen und vor allem auch kosten betrifft,als ich mich mit diesem thema zaunanlagekosten auseinandergesetzt habe tauchte ich eine ganz andere dimension ein wo es umzäunung und vor allem auch kosten betrifft
22,min = -15.0 - max = 50.0 - p = 0.2,pert_min_-15.0_max_50.0_p_0.2_2cd735e7-9390-41...,dort bewegen sich sehr viele jugendliche,dort bewegen sich sehr viele untersuchungen
49,min = -15.0 - max = 50.0 - p = 0.5,pert_min_-15.0_max_50.0_p_0.5_b842e6ab-90eb-41...,wir kommen zur abstimmung,wir kommen zur abstimmung
62,min = -15.0 - max = 50.0 - p = 0.5,pert_min_-15.0_max_50.0_p_0.5_35ac16b9-928a-43...,als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte tauchte ich in ganz andere dimensionen ein was umzäunungen und vor allem auch kosten betrifft,als ich mich mit diesem thema zaunanlage st johannsen auseinandergeschätzt habe tauchte ich eine ganz andere dimension ein empfängung und vor allem auch kosten betrifft
121,min = -15.0 - max = 50.0 - p = 0.5,pert_min_-15.0_max_50.0_p_0.5_e1f2c597-43ea-40...,meiner meinung nach ist das ganz ein schlechter ratschlag denn ich bin der meinung wir müssen uns bewusst sein es gibt nur ein miteinander und nicht ein gegeneinander bauern bäuerinnen und die konsumentinnen und konsumenten,meiner meinung nach ist das ganze schlechte ratschag denn ich bin der meinung man müsse uns bewusst sein es gebe nur ein miteinander und kein gegebeneinander die bauern und die konsumentinnen und konsumenten
96,min = -15.0 - max = 50.0 - p = 0.5,pert_min_-15.0_max_50.0_p_0.5_c2917c1b-e4a8-49...,wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegel in der landschaft stehen,wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie regeln in der landschaft stehen
24,min = -15.0 - max = 50.0 - p = 0.5,pert_min_-15.0_max_50.0_p_0.5_2cd735e7-9390-41...,dort bewegen sich sehr viele jugendliche,dort bewegen diese ist sehr jugendliche
20,min = -15.0 - max = 50.0 - p = 0.8,pert_min_-15.0_max_50.0_p_0.8_2cd735e7-9390-41...,dort bewegen sich sehr viele jugendliche,dort bewegen sie ihre jugendliche
105,min = -15.0 - max = 50.0 - p = 0.8,pert_min_-15.0_max_50.0_p_0.8_e1f2c597-43ea-40...,meiner meinung nach ist das ganz ein schlechter ratschlag denn ich bin der meinung wir müssen uns bewusst sein es gibt nur ein miteinander und nicht ein gegeneinander bauern bäuerinnen und die konsumentinnen und konsumenten,wir sind der meinung dass der spätere sache den ratslage ich bin der meinung wir würden uns bewusst sein dass es nur ein miteinander gibt und kein gegeneinander die bäuerinnen und konsumenten an die konsumenten
95,min = -15.0 - max = 50.0 - p = 0.8,pert_min_-15.0_max_50.0_p_0.8_c2917c1b-e4a8-49...,wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegel in der landschaft stehen,wenn wir das berner mittelland anschauen stellen wir fest dass die kantone bahnenräume wie riegeln in der landschaft stehen
125,min = -15.0 - max = 50.0 - p = 0.8,pert_min_-15.0_max_50.0_p_0.8_35ac16b9-928a-43...,als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte tauchte ich in ganz andere dimensionen ein was umzäunungen und vor allem auch kosten betrifft,als ich mich mit diesem thema zaunanlage st johannsen auseinandergeschätzt habe tauchte ich welches andere dimensionen ein einzäunung und vor allem auch kosten betrifft
53,min = -15.0 - max = 50.0 - p = 0.8,pert_min_-15.0_max_50.0_p_0.8_b842e6ab-90eb-41...,wir kommen zur abstimmung,wir kommen zur abstimmung
106,min = -5.0 - max = 15.0 - p = 0.2,pert_min_-5.0_max_15.0_p_0.2_e1f2c597-43ea-409...,meiner meinung nach ist das ganz ein schlechter ratschlag denn ich bin der meinung wir müssen uns bewusst sein es gibt nur ein miteinander und nicht ein gegeneinander bauern bäuerinnen und die konsumentinnen und konsumenten,meiner meinung nach ist dies ein sehr schlechter ratschlag weil ich bin der meinung man müsse uns bewusst sein es gebe nur ein miteinander und kein gegeneinander die bauernbäuerinnen und konsumenten
5,min = -5.0 - max = 15.0 - p = 0.2,pert_min_-5.0_max_15.0_p_0.2_2cd735e7-9390-415...,dort bewegen sich sehr viele jugendliche,dort bewegen sich sehr viele jugendliche
47,min = -5.0 - max = 15.0 - p = 0.2,pert_min_-5.0_max_15.0_p_0.2_b842e6ab-90eb-411...,wir kommen zur abstimmung,wir kommen zur abstimmung
99,min = -5.0 - max = 15.0 - p = 0.2,pert_min_-5.0_max_15.0_p_0.2_c2917c1b-e4a8-495...,wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegel in der landschaft stehen,wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegeln in der landschaft stehen
77,min = -5.0 - max = 15.0 - p = 0.2,pert_min_-5.0_max_15.0_p_0.2_35ac16b9-928a-43c...,als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte tauchte ich in ganz andere dimensionen ein was umzäunungen und vor allem auch kosten betrifft,wenn ich mit diesem thema zaunanlagen auseinandergesetzt habe tauchte ich eine ganz andere dimension ein wo es umzäunung und vor allem auch kosten betrifft
122,min = -5.0 - max = 15.0 - p = 0.5,pert_min_-5.0_max_15.0_p_0.5_e1f2c597-43ea-409...,meiner meinung nach ist das ganz ein schlechter ratschlag denn ich bin der meinung wir müssen uns bewusst sein es gibt nur ein miteinander und nicht ein gegeneinander bauern bäuerinnen und die konsumentinnen und konsumenten,meiner meinung nach ist das ganze schlechte ratschlag denn ich bin der meinung man müsse uns bewusst sein es gibt nur ein miteinander und kein gegeneinander bauernbäuerinnen und konsumenten und konsumenten
11,min = -5.0 - max = 15.0 - p = 0.5,pert_min_-5.0_max_15.0_p_0.5_2cd735e7-9390-415...,dort bewegen sich sehr viele jugendliche,dort bewegen sich sehr viele jugendliche
73,min = -5.0 - max = 15.0 - p = 0.5,pert_min_-5.0_max_15.0_p_0.5_35ac16b9-928a-43c...,als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte tauchte ich in ganz andere dimensionen ein was umzäunungen und vor allem auch kosten betrifft,wenn ich mit dem thema zaunanlage studien auseinandergesetzt habe tauchte ich eine ganz andere dimensionen ein was umzäunung und vor allem an kosten betrifft
44,min = -5.0 - max = 15.0 - p = 0.5,pert_min_-5.0_max_15.0_p_0.5_b842e6ab-90eb-411...,wir kommen zur abstimmung,wir kommen zur abstimmung
100,min = -5.0 - max = 15.0 - p = 0.5,pert_min_-5.0_max_15.0_p_0.5_c2917c1b-e4a8-495...,wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegel in der landschaft stehen,wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegeln in der landschaft stehen
12,min = -5.0 - max = 15.0 - p = 0.8,pert_min_-5.0_max_15.0_p_0.8_2cd735e7-9390-415...,dort bewegen sich sehr viele jugendliche,dort bewegen sie sehr schwierige auswirkungen
72,min = -5.0 - max = 15.0 - p = 0.8,pert_min_-5.0_max_15.0_p_0.8_35ac16b9-928a-43c...,als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte tauchte ich in ganz andere dimensionen ein was umzäunungen und vor allem auch kosten betrifft,und wenn ich mich mit dem thema zaunahme st jahn st johannsen auseinandergesetzt habe bin ich in ganz andere dimensionen eingetroffenes entzäunung und vor allem auch kosten betrifft
119,min = -5.0 - max = 15.0 - p = 0.8,pert_min_-5.0_max_15.0_p_0.8_e1f2c597-43ea-409...,meiner meinung nach ist das ganz ein schlechter ratschlag denn ich bin der meinung wir müssen uns bewusst sein es gibt nur ein miteinander und nicht ein gegeneinander bauern bäuerinnen und die konsumentinnen und konsumenten,meiner meinung nach ist dies ein sehr schlechter ratschlag weil ich bin der meinung man müsse uns bewusst sein es gibt noch miteinander und kein gegeneinander bauern bäuerinnen und konsumenten und konsumenten
38,min = -5.0 - max = 15.0 - p = 0.8,pert_min_-5.0_max_15.0_p_0.8_b842e6ab-90eb-411...,wir kommen zur abstimmung,wir kommen zur abstimmung
98,min = -5.0 - max = 15.0 - p = 0.8,pert_min_-5.0_max_15.0_p_0.8_c2917c1b-e4a8-495...,wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegel in der landschaft stehen,wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegeln in der landschaft stehen
130,min = -5.0 - max = 5.0 - p = 0.2,pert_min_-5.0_max_5.0_p_0.2_e1f2c597-43ea-4095...,meiner meinung nach ist das ganz ein schlechter ratschlag denn ich bin der meinung wir müssen uns bewusst sein es gibt nur ein miteinander und nicht ein gegeneinander bauern bäuerinnen und die konsumentinnen und konsumenten,meiner meinung nach ist dies ein sehr schlechter ratschlag weil ich bin der meinung man müsse uns bewusst sein es gibt nur ein miteinander und kein gegeneinander bauern bäuerinnen und konsumenten und konsumenten
0,min = -5.0 - max = 5.0 - p = 0.2,pert_min_-5.0_max_5.0_p_0.2_c2917c1b-e4a8-495d...,wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegel in der landschaft stehen,wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegeln in der landschaft stehen
59,min = -5.0 - max = 5.0 - p = 0.2,pert_min_-5.0_max_5.0_p_0.2_35ac16b9-928a-43cd...,als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte tauchte ich in ganz andere dimensionen ein was umzäunungen und vor allem auch kosten betrifft,wenn ich mich eine zaunanlage st johannsen auseinandergesetzt habe tauchte ich in ganz andere dimensionen ein einzäunung und vor allem auch kosten betrifft
27,min = -5.0 - max = 5.0 - p = 0.2,pert_min_-5.0_max_5.0_p_0.2_2cd735e7-9390-415e...,dort bewegen sich sehr viele jugendliche,dort bewegen sich sehr viele jugendliche
41,min = -5.0 - max = 5.0 - p = 0.2,pert_min_-5.0_max_5.0_p_0.2_b842e6ab-90eb-4115...,wir kommen zur abstimmung,wir kommen zur abstimmung
29,min = -5.0 - max = 5.0 - p = 0.5,pert_min_-5.0_max_5.0_p_0.5_b842e6ab-90eb-4115...,wir kommen zur abstimmung,wir kommen zur abstimmung
64,min = -5.0 - max = 5.0 - p = 0.5,pert_min_-5.0_max_5.0_p_0.5_35ac16b9-928a-43cd...,als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte tauchte ich in ganz andere dimensionen ein was umzäunungen und vor allem auch kosten betrifft,als ich mich mit diesem thema zaunanlage st johannsen auseinandersetzte tauchte ich in ganz andere dimensionen ein was umzäunung auf alle kosten betrifft
118,min = -5.0 - max = 5.0 - p = 0.5,pert_min_-5.0_max_5.0_p_0.5_e1f2c597-43ea-4095...,meiner meinung nach ist das ganz ein schlechter ratschlag denn ich bin der meinung wir müssen uns bewusst sein es gibt nur ein miteinander und nicht ein gegeneinander bauern bäuerinnen und die konsumentinnen und konsumenten,meiner meinung nach ist ein ganz schlechter ratschlag weil ich der meinung man müsse uns bewusst sein es gebe nur ein miteinander und kein gegeneinander die bauern bäuerinnen und konsumenten und konsumenten
18,min = -5.0 - max = 5.0 - p = 0.5,pert_min_-5.0_max_5.0_p_0.5_2cd735e7-9390-415e...,dort bewegen sich sehr viele jugendliche,dort bewegen sich sehr kirche jugendliche
97,min = -5.0 - max = 5.0 - p = 0.5,pert_min_-5.0_max_5.0_p_0.5_c2917c1b-e4a8-495d...,wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegel in der landschaft stehen,wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegeln in der landschaft stehen
101,min = -5.0 - max = 5.0 - p = 0.8,pert_min_-5.0_max_5.0_p_0.8_c2917c1b-e4a8-495d...,wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegel in der landschaft stehen,wenn wir das berner mittel anschauen stellen wir fest dass die urbanen räume wie riegeln in der landschaft stehen
4,min = -5.0 - max = 5.0 - p = 0.8,pert_min_-5.0_max_5.0_p_0.8_2cd735e7-9390-415e...,dort bewegen sich sehr viele jugendliche,dort bewegen sich sehr viele jugendliche
50,min = -5.0 - max = 5.0 - p = 0.8,pert_min_-5.0_max_5.0_p_0.8_b842e6ab-90eb-4115...,wir kommen zur abstimmung,wir kommen zur abstimmung
129,min = -5.0 - max = 5.0 - p = 0.8,pert_min_-5.0_max_5.0_p_0.8_e1f2c597-43ea-4095...,meiner meinung nach ist das ganz ein schlechter ratschlag denn ich bin der meinung wir müssen uns bewusst sein es gibt nur ein miteinander und nicht ein gegeneinander bauern bäuerinnen und die konsumentinnen und konsumenten,meiner meinung nach ist dies ein sehr schlechter ratschlag weil ich bin der meinung man müsse uns bewusst sein es gibt nur ein miteinander und kein gegenüber bauern bäuerinnen und konsumenten und konsumenten
63,min = -5.0 - max = 5.0 - p = 0.8,pert_min_-5.0_max_5.0_p_0.8_35ac16b9-928a-43cd...,als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte tauchte ich in ganz andere dimensionen ein was umzäunungen und vor allem auch kosten betrifft,und wenn ich mit diesem thema zaunanlage st johannsen auseinandergesetzt habe bin ich eine ganz andere dimension eingetaucht wo es umzäunung auf diese wasser betrifft
14,min = -5.0 - max = 50.0 - p = 0.2,pert_min_-5.0_max_50.0_p_0.2_2cd735e7-9390-415...,dort bewegen sich sehr viele jugendliche,dort geht es um viele jugendliche
32,min = -5.0 - max = 50.0 - p = 0.2,pert_min_-5.0_max_50.0_p_0.2_b842e6ab-90eb-411...,wir kommen zur abstimmung,wir kommen zur abstimmung
109,min = -5.0 - max = 50.0 - p = 0.2,pert_min_-5.0_max_50.0_p_0.2_e1f2c597-43ea-409...,meiner meinung nach ist das ganz ein schlechter ratschlag denn ich bin der meinung wir müssen uns bewusst sein es gibt nur ein miteinander und nicht ein gegeneinander bauern bäuerinnen und die konsumentinnen und konsumenten,meiner meinung nach ist dies ein ganz schlechter ratschlag weil ich bin der meinung man müsse uns bewusst sein es gebe nur ein miteinander und kein gegeneinander bauern bäuerinnen und konsumenten und die konsumenten
93,min = -5.0 - max = 50.0 - p = 0.2,pert_min_-5.0_max_50.0_p_0.2_c2917c1b-e4a8-495...,wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegel in der landschaft stehen,wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume in der landschaft stehen
70,min = -5.0 - max = 50.0 - p = 0.2,pert_min_-5.0_max_50.0_p_0.2_35ac16b9-928a-43c...,als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte tauchte ich in ganz andere dimensionen ein was umzäunungen und vor allem auch kosten betrifft,wenn ich mich mit dem thema zaunanlage st johannsen auseinandersetzte tauchte ich in ganz andere dimensionen ein einzäunung und vor allem auch kosten betrifft
39,min = -5.0 - max = 50.0 - p = 0.5,pert_min_-5.0_max_50.0_p_0.5_b842e6ab-90eb-411...,wir kommen zur abstimmung,wir kommen zur abstimmung
112,min = -5.0 - max = 50.0 - p = 0.5,pert_min_-5.0_max_50.0_p_0.5_e1f2c597-43ea-409...,meiner meinung nach ist das ganz ein schlechter ratschlag denn ich bin der meinung wir müssen uns bewusst sein es gibt nur ein miteinander und nicht ein gegeneinander bauern bäuerinnen und die konsumentinnen und konsumenten,ich bin noch einmal der meinung dass zum beispiel eigentlich noch einmal bei relativ burgdorf bohren und wir wollen lösung per elektronische personelle und bewilligungseigentümer bernhard perronrolle für die kenntnisnahme
102,min = -5.0 - max = 50.0 - p = 0.5,pert_min_-5.0_max_50.0_p_0.5_c2917c1b-e4a8-495...,wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegel in der landschaft stehen,wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie regeln in der landschaft stehen
68,min = -5.0 - max = 50.0 - p = 0.5,pert_min_-5.0_max_50.0_p_0.5_35ac16b9-928a-43c...,als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte tauchte ich in ganz andere dimensionen ein was umzäunungen und vor allem auch kosten betrifft,als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte bin ich in ganz andere dimensionen eingepunkt als umzäunung und vor allem auch kosten betrifft
16,min = -5.0 - max = 50.0 - p = 0.5,pert_min_-5.0_max_50.0_p_0.5_2cd735e7-9390-415...,dort bewegen sich sehr viele jugendliche,dort bereiten sich sehr jugendliche
55,min = -5.0 - max = 50.0 - p = 0.8,pert_min_-5.0_max_50.0_p_0.8_b842e6ab-90eb-411...,wir kommen zur abstimmung,wir kommen zur abschreibung
1,min = -5.0 - max = 50.0 - p = 0.8,pert_min_-5.0_max_50.0_p_0.8_c2917c1b-e4a8-495...,wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegel in der landschaft stehen,wenn wir das tellmittelland anschauen stellen wir fest dass die turbalen räume wie riegeln in der landschaft stehen
66,min = -5.0 - max = 50.0 - p = 0.8,pert_min_-5.0_max_50.0_p_0.8_35ac16b9-928a-43c...,als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte tauchte ich in ganz andere dimensionen ein was umzäunungen und vor allem auch kosten betrifft,und ich habe mich mit dem thema zaunanlage st johannsen auseinandergesetzt bin ich in ganz andere dimensionen eingetaucht und vor allem auch kosten betrifft
