WER,BLEU,diff_ref_hyp,diff_hyp_ref,reference,hypothese,id
0.0,1.0,,,so schnell dass es gar nicht mehr zu solchen ausnahmefällen kommen sollte,so schnell dass es gar nicht mehr zu solchen ausnahmefällen kommen sollte,3107  97f0eb8c-f6f0-4e9b-8dbf-8d02c2e29617
0.0,1.0,,,sachlich hätte die idee des regierungsrates absolut sinn gemacht,sachlich hätte die idee des regierungsrates absolut sinn gemacht,2863  90adee05-ec70-4ea1-8b50-49e428edbd4c
0.0,1.0,,,sie unterstützt auch die planungserklärungen 1 und 2,sie unterstützt auch die planungserklärungen 1 und 2,401  1cc8643a-ab4a-4b58-8b30-9094f1d5e7d4
0.0,1.0,,,diese massnahmen sind gut richtig und zielführend,diese massnahmen sind gut richtig und zielführend,2778  47c5f43d-f058-4aed-ae04-86ca5df283f4
0.0,1.0,,,deshalb unterstützen wir punkt 1 als postulat,deshalb unterstützen wir punkt 1 als postulat,1542  555a811b-7b7d-4e27-933a-3a8056ccf1e4
0.0,1.0,,,ich bitte sie diese motion ganz klar anzunehmen,ich bitte sie diese motion ganz klar anzunehmen,2079  6c4ed2a9-330b-437c-80d7-6259a2d9c210
0.0,1.0,,,die edufraktion will keine lockerung der bisherigen praxis,die edufraktion will keine lockerung der bisherigen praxis,341  5f12e53e-b3e4-4c3f-8000-ce9731513971
0.0,1.0,,,wir unterstützen auch alle vier planungserklärungen,wir unterstützen auch alle vier planungserklärungen,1573  d8b6ebf7-723d-4ab4-bbe9-eb9805e21945
0.0,1.0,,,qualitätsmedien sind mehr als nur ein gewöhnliches wirtschaftsgut,qualitätsmedien sind mehr als nur ein gewöhnliches wirtschaftsgut,1352  b2a642e5-de20-4d20-902a-afca00895a92
0.0,1.0,,,der edufraktion ist die eindämmung des borkenkäfers wichtig,der edufraktion ist die eindämmung des borkenkäfers wichtig,1634  82b6458e-153e-47eb-8e44-a7569aabf2c0
0.0,1.0,,,die spjusopsafraktion ist klar anderer meinung,die spjusopsafraktion ist klar anderer meinung,2293  224ed1a9-e1b0-47d4-a9da-1c0c043a617b
0.0,1.0,,,der medienstandort bern wird aber in letzter zeit laufend geschwächt,der medienstandort bern wird aber in letzter zeit laufend geschwächt,3082  037f1794-038b-4035-9ff8-1033f57fc53a
0.0,1.0,,,neuverpflichtung der mittel aus dem investitionsfonds,neuverpflichtung der mittel aus dem investitionsfonds,2521  db247825-9bc2-4287-9ac8-fd193e8f3bd7
0.0,1.0,,,die leserinnen und leser haben ihr verhalten mittlerweile geändert,die leserinnen und leser haben ihr verhalten mittlerweile geändert,3088  99c296a1-0851-4bad-8245-19a642166213
0.0,1.0,,,es konnte dann kein volksvorschlag eingereicht werden,es konnte dann kein volksvorschlag eingereicht werden,1226  373130b0-da71-44e8-b577-2362c9d4da26
0.0,1.0,,,der kanton bern hat hier wenig bis gar keinen spielraum,der kanton bern hat hier wenig bis gar keinen spielraum,544  58306c60-9d4f-438f-85c5-8eacbcdc87f2
0.0,1.0,,,es freut mich dass die regierung jetzt positiv hinter dieser motion steht,es freut mich dass die regierung jetzt positiv hinter dieser motion steht,1141  01562481-d272-4afd-8b50-cf6dfadb5e9d
0.0,1.0,,,es gibt bekanntlich für alles immer gute aber auch wahre gründe,es gibt bekanntlich für alles immer gute aber auch wahre gründe,603  3fad61bf-a0ca-454c-8f66-d24b0a8689da
0.0,1.0,,,meine damen und herren es nützt nichts einfach mehr geld zu verteilen,meine damen und herren es nützt nichts einfach mehr geld zu verteilen,778  3d14dd42-7bb9-48f4-adf0-b123d248304f
0.0,1.0,,,die edufraktion unterstützt beide punkte als motion,die edufraktion unterstützt beide punkte als motion,761  232e704d-a6df-439b-a75a-449e4a184f97
0.0,1.0,,,die lohngleichheit in leitenden positionen ist gewährleistet,die lohngleichheit in leitenden positionen ist gewährleistet,563  1b97fb6a-51ed-48e7-9a33-9850f3ebc44a
0.0,1.0,,,die fdp nimmt die kulturstrategie zustimmend zur kenntnis,die fdp nimmt die kulturstrategie zustimmend zur kenntnis,2167  21a6e5cb-71ee-46b2-aeac-6d1c03464ec1
0.0,1.0,,,es handelt sich hier um einen absoluten einzelfall,es handelt sich hier um einen absoluten einzelfall,972  3a25574d-6a99-4c28-8d58-cf6d511afebd
0.0,1.0,,,das problem ist aber definitiv auf bundesebene zu lösen,das problem ist aber definitiv auf bundesebene zu lösen,1944  8dc9efda-b877-4fa6-81a2-058726c4b5a6
0.0,1.0,,,im moment sieht die regierung keinen neuen bericht vor,im moment sieht die regierung keinen neuen bericht vor,756  761aa68c-dd14-4508-8c24-cfa2a4cf741d
0.0,1.0,,,sie unterstützt die planungserklärungen der sik einstimmig,sie unterstützt die planungserklärungen der sik einstimmig,1788  c29ac6eb-4edb-433a-bc56-e386d655b78a
0.0,1.0,,,die darin formulierten begründungen sind haltlos,die darin formulierten begründungen sind haltlos,2235  4e992c49-1680-4772-86cc-e5d9a4fcb74a
0.0,1.0,,,die svp steht voll und ganz hinter diesen zielen,die svp steht voll und ganz hinter diesen zielen,1551  86e52e9f-26c2-4a89-924b-eda4a2917fca
0.0,1.0,,,trotzdem hat die svp gewisse bedenken gegenüber diesem bericht,trotzdem hat die svp gewisse bedenken gegenüber diesem bericht,1910  1e075246-8582-433c-8fbf-b5f890328147
0.0,1.0,,,das heisst ohne ihr zutun werden verbesserungen erzielt,das heisst ohne ihr zutun werden verbesserungen erzielt,1181  c0dd1144-a5af-410b-a59a-0846e48418fe
0.0,1.0,,,deshalb stimmen wir dem nichteintretensantrag nicht zu,deshalb stimmen wir dem nichteintretensantrag nicht zu,2436  842e9ca2-531f-4fa7-98b3-95c9e9c2c568
0.0,1.0,,,diese schulen sind immer botschafter der schweiz,diese schulen sind immer botschafter der schweiz,2015  9b852b3d-c837-4e4e-b15e-f5fdc1b2c819
0.0,1.0,,,bedenklich ist auch die zunahme der gewalt gegen frauen,bedenklich ist auch die zunahme der gewalt gegen frauen,1463  54c9881f-229d-4e8d-a79e-622fe85d6c3b
0.0,1.0,,,zuerst danken wir dem regierungsrat für die beantwortung dieser motion,zuerst danken wir dem regierungsrat für die beantwortung dieser motion,2180  6f03264f-351a-40c9-bead-350f333d2bae
0.0,1.0,,,deshalb lehnt die bdpfraktion diesen antrag ab,deshalb lehnt die bdpfraktion diesen antrag ab,620  cb2e56b8-4f71-4f7d-a66d-18accb290cbd
0.0,1.0,,,dazu hat auch die öffentliche beratung beigetragen,dazu hat auch die öffentliche beratung beigetragen,1610  dfd39590-8c01-493a-9b4f-1c42ba7ab4e1
0.0,1.0,,,die antwort des regierungsrates ist für uns schlüssig,die antwort des regierungsrates ist für uns schlüssig,635  71e1a220-affe-4de2-8180-644de8b99ce1
0.0,1.0,,,aber wir unterstützen selbstverständlich auch diesen,aber wir unterstützen selbstverständlich auch diesen,1131  f5a125ca-5621-417d-a3c4-de035cea0702
0.0,1.0,,,sie ist ein wirksames instrument,sie ist ein wirksames instrument,2456  36ea701b-0e26-4b0c-895d-33185a72b89b
0.0,1.0,,,das volk muss mitentscheiden,das volk muss mitentscheiden,443  5b6e77f1-57ab-459f-8f1e-d363aa3f16e3
0.0,1.0,,,er ist ausführlich und umfassend,er ist ausführlich und umfassend,3250  3282c467-c498-4d7e-a6b7-e5372439f271
0.0,1.0,,,dazu gehört auch die religion,dazu gehört auch die religion,1479  a08eac17-f1e9-46be-b392-bc966a635042
0.0,1.0,,,die vorlage muss ausgewogen sein,die vorlage muss ausgewogen sein,1906  2162bfdb-664e-44b8-85f2-bfb06f2ed919
0.0,1.0,,,die fdp lehnt das postulat geschlossen ab,die fdp lehnt das postulat geschlossen ab,339  f4896570-cbe1-4b4e-a5f2-026c70e87586
0.0,1.0,,,vielen dank für die grosse unterstützung,vielen dank für die grosse unterstützung,1445  2ced59b2-ae44-4274-b858-df575031ae47
0.0,1.0,,,das will ich wirklich nicht infrage stellen,das will ich wirklich nicht infrage stellen,1003  a2b7c5d5-e84d-4915-8f46-090bba3d085d
0.0,1.0,,,so kann man eigentlich nicht argumentieren,so kann man eigentlich nicht argumentieren,2233  f79e14fa-b1ad-4ca5-95c2-dafc3b9d4470
0.0,1.0,,,wenn wir schon immer von gleichstellung sprechen,wenn wir schon immer von gleichstellung sprechen,1346  10afa827-b851-411a-9163-5fe2eab3381c
0.0,1.0,,,sport ist nicht einfach irgendein fach,sport ist nicht einfach irgendein fach,486  803f00f2-b69a-4262-a0d9-867cb2adefa8
0.0,1.0,,,unser vorstoss ist sinnvoll und mit mass verfasst,unser vorstoss ist sinnvoll und mit mass verfasst,2188  9a15dbbe-4008-41d4-80a4-f4da2709edb3
0.0,1.0,,,also ist diese planungserklärung überflüssig,also ist diese planungserklärung überflüssig,1792  ea92b98c-78cd-4f15-a28a-e638f77c49e9
0.0,1.0,,,wir halten uns für einmal ganz anständig an die regierung,wir halten uns für einmal ganz anständig an die regierung,2670  6c8487e4-4ffb-4912-9431-248c3d514820
0.0,1.0,,,wie bereits erwähnt wurde schon redimensioniert,wie bereits erwähnt wurde schon redimensioniert,472  c8648323-a797-4ae8-8940-173721d342af
0.0,1.0,,,das schafft klarheit und transparenz,das schafft klarheit und transparenz,52  72b4773d-933b-42a2-b2d9-3c48373eff41
0.0,1.0,,,es gibt viel wichtigere projekte in diesem kanton,es gibt viel wichtigere projekte in diesem kanton,1209  08481a2e-f88e-4843-b5bd-7fb4bf817652
0.0,1.0,,,es geht um auskünfte an steuerbehörden,es geht um auskünfte an steuerbehörden,512  14ef0582-28a0-44a0-8930-22c936b656f6
0.0,1.0,,,die verordnung ist so restriktiv,die verordnung ist so restriktiv,2213  e9b33ca2-9bdf-4429-992e-453de51ff8e6
0.0,1.0,,,wir haben einen antrag leuenberger,wir haben einen antrag leuenberger,1735  deec9a98-7ef0-407c-b1f7-1270ff331c09
0.0,1.0,,,hier komme ich zu meinen zwei bemerkungen,hier komme ich zu meinen zwei bemerkungen,427  d1d8ff63-0a79-4878-b4e3-0209269a9da8
0.0,1.0,,,jeder mensch hat unterschiedliche ressourcen,jeder mensch hat unterschiedliche ressourcen,2805  b824478e-d260-4018-9297-0d6fa664564a
0.0,1.0,,,diesem punkt kann ich persönlich zustimmen,diesem punkt kann ich persönlich zustimmen,326  bf7f466b-c117-408a-84ba-dea2b6d37e3c
0.0,1.0,,,deshalb werden wir in diese richtung gehen,deshalb werden wir in diese richtung gehen,2201  8e59272f-e490-4182-ae27-22e86c229bef
0.0,1.0,,,in diesem sinn nehmen wir den bericht zur kenntnis,in diesem sinn nehmen wir den bericht zur kenntnis,2665  a67cc6ab-e522-4cf7-a992-f27b1e139b82
0.0,1.0,,,die fdpfraktion stimmt dem bericht zu,die fdpfraktion stimmt dem bericht zu,900  9804de92-0a8c-4c97-9a08-99a59eac5b90
0.0,1.0,,,dieser ist aber nicht gratis zu haben,dieser ist aber nicht gratis zu haben,619  6ebcbaa4-ca58-49df-997e-cb1d3f355f32
0.0,1.0,,,wir sind beim thema gastgewerbebewilligung,wir sind beim thema gastgewerbebewilligung,1935  b11bd3a8-b951-437d-b018-ef5ac8afd4bc
0.0,1.0,,,die abschreibung wird von unserer seite nicht bestritten,die abschreibung wird von unserer seite nicht bestritten,2244  5b6a6d6d-4d9f-46a6-911f-ee280311a787
0.0,1.0,,,mit gewissen risiken müssen wir leben,mit gewissen risiken müssen wir leben,2637  609e094a-4700-4879-8677-53cba11c5f3e
0.0,1.0,,,jedoch wollen wir zwischennutzungen anstreben,jedoch wollen wir zwischennutzungen anstreben,1068  cce48497-c7a7-4c1f-a2d0-63af74784639
0.0,1.0,,,die svp lehnt den vorschlag einstimmig ab,die svp lehnt den vorschlag einstimmig ab,954  5cfbc861-12f0-46fb-93eb-64be7412725b
0.0,1.0,,,liebe grossrätinnen und grossräte machen sie weiter so,liebe grossrätinnen und grossräte machen sie weiter so,2433  67882b3f-a8b4-4552-a7f1-16d644c60289
0.0,1.0,,,deshalb danke ich ihnen wenn sie die motion unterstützen,deshalb danke ich ihnen wenn sie die motion unterstützen,332  bf61ace1-18df-4214-bcd9-66145bb8c245
0.0,1.0,,,kunst am bau ist für uns nicht zwingend notwendig,kunst am bau ist für uns nicht zwingend notwendig,3241  c94788b6-bfc8-4a5f-9644-3ecfee20aef9
0.0,1.0,,,die bdp unterstützt den entscheid der kommissionsmehrheit,die bdp unterstützt den entscheid der kommissionsmehrheit,2503  92487378-e194-4ca1-bdcf-8c276520ac2b
0.0,1.0,,,es geht aber um die linke stadt bern und vor allem um die linken stadtnomaden,es geht aber um die linke stadt bern und vor allem um die linken stadtnomaden,1569  faa6c4c3-9aee-4aa1-957f-a10032ec2c11
0.0,1.0,,,es geht einzig darum eine gewisse öffentlichkeit zu schaffen,es geht einzig darum eine gewisse öffentlichkeit zu schaffen,670  0c5cf3c3-bdf1-469d-a8c2-ffe1cf1d5893
0.0,1.0,,,die kapo braucht zwingend mehr polizisten,die kapo braucht zwingend mehr polizisten,451  0bc63b68-f735-435c-a0cc-079bf90981c4
0.0,1.0,,,ich bitte sie inständig diese zu überweisen,ich bitte sie inständig diese zu überweisen,843  135ad051-80e4-4af7-bed2-80294af0f93b
0.0,1.0,,,in der stadt bern fehlt diese leider vielfach,in der stadt bern fehlt diese leider vielfach,3277  b61bc04d-1be6-467b-9e1f-2c824db450e8
0.0,1.0,,,der kanton bern hat schweizweit am meisten gemeinden,der kanton bern hat schweizweit am meisten gemeinden,1747  f5959263-4b31-4cb8-b12d-5ef4ff0d10da
0.0,1.0,,,sie sind grundsätzlich vom einsichtsrecht ausgenommen,sie sind grundsätzlich vom einsichtsrecht ausgenommen,2106  04b3e220-ea35-4012-8ecc-d6e5dbf5e4ea
0.0,1.0,,,bei punkt 2 sind wir für annahme und abschreibung,bei punkt 2 sind wir für annahme und abschreibung,1096  a875ed13-51c1-4810-be55-d49a283337dc
0.0,1.0,,,wir unterstützen annahme und abschreibung der motion,wir unterstützen annahme und abschreibung der motion,1415  6aeb81c7-314c-4fdb-b1d9-f1d2948f1585
0.0,1.0,,,wir alle möchten kosten senken aber wie,wir alle möchten kosten senken aber wie,2902  75d88391-8f91-4c05-994f-a1e624485882
0.0,1.0,,,die svp lehnt die ziffer 1 einstimmig ab,die svp lehnt die ziffer 1 einstimmig ab,927  8acfc00c-f5e4-437e-a7b3-9584462b09b4
0.0,1.0,,,die universität ist sehr selbstständig und sehr gut unterwegs,die universität ist sehr selbstständig und sehr gut unterwegs,1756  2c1b6755-4ac6-4724-bc5d-130577357528
0.0,1.0,,,wir lehnen diese motion in beiden punkten ab,wir lehnen diese motion in beiden punkten ab,930  af2e5f78-b2f2-4c80-8bdd-e790d0cefee9
0.0,1.0,,,wir haben es erst im zweiten anlauf gesehen,wir haben es erst im zweiten anlauf gesehen,2005  973f541c-fc48-4e16-8fd0-1f5346e741ea
0.0,1.0,,,die svp nimmt den bericht einstimmig zur kenntnis,die svp nimmt den bericht einstimmig zur kenntnis,1366  5d8bd918-71a6-4d60-994f-7315e7502ae2
0.0,1.0,,,deshalb handelt es sich hier um eine standesinitiative,deshalb handelt es sich hier um eine standesinitiative,2929  a48cc265-9bcf-4bcd-9ac4-ffbd67bc35b1
0.0,1.0,,,die gemeinden werden einbezogen und können sich äussern,die gemeinden werden einbezogen und können sich äussern,2786  3231d231-72fd-47b8-9806-9af880f7c506
0.0,1.0,,,es gibt verschiedene arten von trinkwasserfassungen,es gibt verschiedene arten von trinkwasserfassungen,2587  78bba5af-fb17-49cc-b706-5a0a944eabed
0.0,1.0,,,verschiedene politische entscheide stehen aus,verschiedene politische entscheide stehen aus,469  9fdffdd2-27be-4a36-84c1-8213e09dc66a
0.0,1.0,,,sie verschlechtert sich trotz steigender fallzahlen,sie verschlechtert sich trotz steigender fallzahlen,498  df49da17-f2b7-46f1-840b-201368415e46
0.0,1.0,,,mit diesem vorstoss verlange ich einen marschhalt,mit diesem vorstoss verlange ich einen marschhalt,3104  2877f430-888f-44f1-bbba-cc1f8cab66b1
0.0,1.0,,,dies ist möglicherweise ein ansatz,dies ist möglicherweise ein ansatz,1022  9f6fc00a-dad0-4d71-a98d-260ce34107d6
0.0,1.0,,,die motion junker wollen wir nicht unterstützen,die motion junker wollen wir nicht unterstützen,1548  6c15d80d-bc87-46a7-8c31-894f0389c8d8
0.0,1.0,,,massnahmen für sauberes trinkwasser ergreifen,massnahmen für sauberes trinkwasser ergreifen,2544  b952a033-29aa-4538-8f54-78651a8f5d77
0.0,1.0,,,eine wirtschaftliche und bedarfsgerechte nutzung macht sinn,eine wirtschaftliche und bedarfsgerechte nutzung macht sinn,2148  f055c937-f99f-4b0b-8513-c5bc76e65c5c
0.0,1.0,,,die fdp stimmt dieser gesetzesänderung zu,die fdp stimmt dieser gesetzesänderung zu,1858  7c4c07d4-4b20-4f03-a0f8-68307aeed74a
0.0,1.0,,,zwingend wäre auch eine nationale koordination,zwingend wäre auch eine nationale koordination,1567  ceec6faa-74df-4fcf-a8bd-5b703815653d
0.0,1.0,,,ganz herzlichen dank für die positive aufnahme dieses geschäfts,ganz herzlichen dank für die positive aufnahme dieses geschäfts,179  a8f00ef0-9409-4b0c-8ef5-becc47760911
0.0,1.0,,,die christliche religion ist unsere kulturelle basis,die christliche religion ist unsere kulturelle basis,1588  7aa0d0ce-67b3-403a-b667-e160451436ff
0.0,1.0,,,diese ziffer betrifft die angebote in den städten bern biel und thun,diese ziffer betrifft die angebote in den städten bern biel und thun,284  ca38e540-3613-4504-b330-0556072f733a
0.0,1.0,,,allerdings wird auch die abschreibung grossmehrheitlich unterstützt,allerdings wird auch die abschreibung grossmehrheitlich unterstützt,2437  3164212c-35fa-434d-8e4e-730f41ff0a09
0.0,1.0,,,sind wir bereit für diese herausforderungen sehr geehrte mitglieder des grossen rats,sind wir bereit für diese herausforderungen sehr geehrte mitglieder des grossen rats,192  c2a62743-d6bc-4c29-b980-526a91724e60
0.0,1.0,,,für uns macht aber die ganze übung nur dann sinn wenn die kosten im totalen gesenkt werden können,für uns macht aber die ganze übung nur dann sinn wenn die kosten im totalen gesenkt werden können,1347  b855d427-f9f1-464f-a40c-69ca6d97b9b1
0.0,1.0,,,über den angebotsbeschluss und den beschluss über die investitionen des öffentlichen verkehrs wird im grossen rat alle vier jahre entschieden,über den angebotsbeschluss und den beschluss über die investitionen des öffentlichen verkehrs wird im grossen rat alle vier jahre entschieden,2166  4abd2553-1b75-44ad-8bb5-74d8fb937d5f
0.0,1.0,,,er verlangt eine praxisbewilligung für alle ärztlichen praxen die als juristische personen organisiert sind,er verlangt eine praxisbewilligung für alle ärztlichen praxen die als juristische personen organisiert sind,2382  c4e6aff7-fe1f-4279-af0f-8ee9060091d8
0.0,1.0,,,und es ist nicht so wie der regierungsrat in seiner antwort sagt dass wir hier keine kompetenzen haben,und es ist nicht so wie der regierungsrat in seiner antwort sagt dass wir hier keine kompetenzen haben,795  e67057ac-a0b5-4e30-a081-73216429d6d1
0.0,1.0,,,jetzt kann mit dieser motion nämlich eine angleichung zwischen privaten und landwirtschaft geschaffen werden,jetzt kann mit dieser motion nämlich eine angleichung zwischen privaten und landwirtschaft geschaffen werden,1661  e4ebbeb4-92cd-405b-ae33-ccecb48a0624
0.0,1.0,,,mit dem berner pflanzenschutzprojekt setzt der kanton bern einige massnahmen für pflanzenschutzmittel um,mit dem berner pflanzenschutzprojekt setzt der kanton bern einige massnahmen für pflanzenschutzmittel um,1438  446b4b83-c676-4503-9cb6-351b1a1b00e6
0.0,1.0,,,die fähigkeit als ausländer die hiesige sprache zu beherrschen ist ein zentrales element der integration,die fähigkeit als ausländer die hiesige sprache zu beherrschen ist ein zentrales element der integration,1397  a40af554-efa7-4904-861b-5babceadb3d6
0.0,1.0,,,davon kann hier aus meiner sicht nicht gesprochen werden die zeitlichen dimensionen sind ganz anders,davon kann hier aus meiner sicht nicht gesprochen werden die zeitlichen dimensionen sind ganz anders,1338  9ba3a717-5663-4631-86fe-cd1f84c60e4b
0.0,1.0,,,sie sind eigenverantwortlich und autonom sind mündig und begeisterungsfähig,sie sind eigenverantwortlich und autonom sind mündig und begeisterungsfähig,246  c393c258-496d-4343-a298-2e40449430cf
0.0,1.0,,,im bericht hält der regierungsrat auch seine ausserpolitischen schwerpunkte für das laufende jahr 2020 fest,im bericht hält der regierungsrat auch seine ausserpolitischen schwerpunkte für das laufende jahr 2020 fest,2266  12d5e81e-24ad-48d8-a23d-1fdc97b9a52d
0.0,1.0,,,unabhängige publizistische medien sind eine zentrale voraussetzung für eine funktionierende demokratie,unabhängige publizistische medien sind eine zentrale voraussetzung für eine funktionierende demokratie,1099  4acaedce-08c3-4fb2-b9a7-5c279501035e
0.0,1.0,,,dieser vorstoss hat innerhalb der bdpfraktion nur kurz zu diskussionen geführt,dieser vorstoss hat innerhalb der bdpfraktion nur kurz zu diskussionen geführt,240  ec40b535-4cf7-4916-8a00-db9c1154b2a7
0.0,1.0,,,sie dankt dem regierungsrat und der verwaltung für die ausführungen in diesem hier vorliegenden papier,sie dankt dem regierungsrat und der verwaltung für die ausführungen in diesem hier vorliegenden papier,3280  341ba481-02fc-45da-b5d1-9ebf730be155
0.0,1.0,,,aus dieser sicht ist die heutige regelung im ggg möglicherweise tatsächlich ein alter zopf,aus dieser sicht ist die heutige regelung im ggg möglicherweise tatsächlich ein alter zopf,1712  8776be51-43ad-46c4-9791-daafbd07974d
0.0,1.0,,,raumplanerische bestrebungen können nur umgesetzt werden wenn die gemeinden regionsübergreifend zusammenarbeiten,raumplanerische bestrebungen können nur umgesetzt werden wenn die gemeinden regionsübergreifend zusammenarbeiten,3156  f3068900-1d0e-47e6-ae55-aa4b53aa7d59
0.0,1.0,,,ich bestreite auch nicht dass es in kaderfunktionen mehr männer als frauen gibt,ich bestreite auch nicht dass es in kaderfunktionen mehr männer als frauen gibt,1894  8e098620-0cc1-469c-b9a7-f0111a81511e
0.0,1.0,,,für all diese dinge haben wir echtes authentisches abstimmungs und wahlmaterial gebraucht,für all diese dinge haben wir echtes authentisches abstimmungs und wahlmaterial gebraucht,2123  338a6622-feb2-4ea8-97d5-802464a31680
