id	target_txt	checkpoint	prediction
585  common_voice_sv-SE_19354301	What happened?	250	What are you going?
585  common_voice_sv-SE_19354301	What happened?	50	I I an’t the the the the the athe the the.
585  common_voice_sv-SE_19354301	What happened?	1250	Do you want to buy jeans?
585  common_voice_sv-SE_19354301	What happened?	750	Is everything okay?
585  common_voice_sv-SE_19354301	What happened?	1000	Do you want a beer?
585  common_voice_sv-SE_19354301	What happened?	500	What are you going to do?
70  common_voice_sv-SE_19380483	Easy to hide.	-	-
70  common_voice_sv-SE_19380483	Easy to hide.	250	What are you going?
70  common_voice_sv-SE_19380483	Easy to hide.	50	I I atous tou the the the.
70  common_voice_sv-SE_19380483	Easy to hide.	1250	Do you want to try?
70  common_voice_sv-SE_19380483	Easy to hide.	750	Is everything okay?
70  common_voice_sv-SE_19380483	Easy to hide.	1000	That is my line.
70  common_voice_sv-SE_19380483	Easy to hide.	500	What are you going?
948  common_voice_sv-SE_18852852	Like my mother.	-	-
948  common_voice_sv-SE_18852852	Like my mother.	250	What are you going?
948  common_voice_sv-SE_18852852	Like my mother.	50	I I an’the the the the the t athe.
948  common_voice_sv-SE_18852852	Like my mother.	1250	Follow me!
948  common_voice_sv-SE_18852852	Like my mother.	750	Is everything okay?
948  common_voice_sv-SE_18852852	Like my mother.	1000	Do you want to see?
948  common_voice_sv-SE_18852852	Like my mother.	500	What are you going to do?
1376  common_voice_sv-SE_20021360	And right then.	-	-
1376  common_voice_sv-SE_20021360	And right then.	250	What are you going?
1376  common_voice_sv-SE_20021360	And right then.	50	I I atous tous the the the.
1376  common_voice_sv-SE_20021360	And right then.	1250	We’re going to get you.
1376  common_voice_sv-SE_20021360	And right then.	750	What does it matter?
1376  common_voice_sv-SE_20021360	And right then.	1000	How did you feel today?
1376  common_voice_sv-SE_20021360	And right then.	500	What are you going to do?
999  common_voice_sv-SE_18853077	But isn’t it easier now?	-	-
999  common_voice_sv-SE_18853077	But isn’t it easier now?	250	Why do you know that?
999  common_voice_sv-SE_18853077	But isn’t it easier now?	50	You an’the the the the the.
999  common_voice_sv-SE_18853077	But isn’t it easier now?	1250	Oh no, they are already here.
999  common_voice_sv-SE_18853077	But isn’t it easier now?	750	Do you want to buy jeans?
999  common_voice_sv-SE_18853077	But isn’t it easier now?	1000	Yes, we girls would really want that.
999  common_voice_sv-SE_18853077	But isn’t it easier now?	500	What are you going to do now?
8  common_voice_sv-SE_19130618	Take it down, now!	-	-
8  common_voice_sv-SE_19130618	Take it down, now!	250	What do you know that?
8  common_voice_sv-SE_19130618	Take it down, now!	50	I I an’the the the the the the are the the athe the.
8  common_voice_sv-SE_19130618	Take it down, now!	1250	Can you get the phone?
8  common_voice_sv-SE_19130618	Take it down, now!	750	Do you really want to know?
8  common_voice_sv-SE_19130618	Take it down, now!	1000	Don’t think about it.
8  common_voice_sv-SE_19130618	Take it down, now!	500	What are you going to do?
953  common_voice_sv-SE_18852857	What a night for you.	-	-
953  common_voice_sv-SE_18852857	What a night for you.	250	What are you going?
953  common_voice_sv-SE_18852857	What a night for you.	50	I I an’the the the the the the athe the the.
953  common_voice_sv-SE_18852857	What a night for you.	1250	What you are saying?
953  common_voice_sv-SE_18852857	What a night for you.	750	I don’t know why you care.
953  common_voice_sv-SE_18852857	What a night for you.	1000	But it is over now.
953  common_voice_sv-SE_18852857	What a night for you.	500	What are you doing here?
789  common_voice_sv-SE_19623825	We will solve it.	-	-
789  common_voice_sv-SE_19623825	We will solve it.	250	What do you want?
789  common_voice_sv-SE_19623825	We will solve it.	50	I I an’t tous the the the.
789  common_voice_sv-SE_19623825	We will solve it.	1250	What’s not what?
789  common_voice_sv-SE_19623825	We will solve it.	750	I will check.
789  common_voice_sv-SE_19623825	We will solve it.	1000	What’s that?
789  common_voice_sv-SE_19623825	We will solve it.	500	What are you doing?
969  common_voice_sv-SE_18852879	We have been together for seven years.	-	-
969  common_voice_sv-SE_18852879	We have been together for seven years.	250	Why do you know that?
969  common_voice_sv-SE_18852879	We have been together for seven years.	50	You an’the the the the the the the the the the.
969  common_voice_sv-SE_18852879	We have been together for seven years.	1250	We have to open the gate.
969  common_voice_sv-SE_18852879	We have been together for seven years.	750	Because I am a fucking gull.
969  common_voice_sv-SE_18852879	We have been together for seven years.	1000	We have to fix this so we can.
969  common_voice_sv-SE_18852879	We have been together for seven years.	500	What are you going to do now?
1573  common_voice_sv-SE_18858770	No, you’re going home.	-	-
1573  common_voice_sv-SE_18858770	No, you’re going home.	250	What are you going?
1573  common_voice_sv-SE_18858770	No, you’re going home.	50	I I an’the the the the the.
1573  common_voice_sv-SE_18858770	No, you’re going home.	1250	Come on, damn it!
1573  common_voice_sv-SE_18858770	No, you’re going home.	750	Are you going to count?
1573  common_voice_sv-SE_18858770	No, you’re going home.	1000	You don’t have to go.
1573  common_voice_sv-SE_18858770	No, you’re going home.	500	What are you doing here?
1592  common_voice_sv-SE_18858804	Let’s go look around.	-	-
1592  common_voice_sv-SE_18858804	Let’s go look around.	250	You don’t know.
1592  common_voice_sv-SE_18858804	Let’s go look around.	50	You an’the the the the the.
1592  common_voice_sv-SE_18858804	Let’s go look around.	1250	A photo of me in London!
1592  common_voice_sv-SE_18858804	Let’s go look around.	750	I will do my best to find it.
1592  common_voice_sv-SE_18858804	Let’s go look around.	1000	A photo of me in London!
1592  common_voice_sv-SE_18858804	Let’s go look around.	500	What are you going to do now?
1316  common_voice_sv-SE_18775049	You should stay away!	-	-
1316  common_voice_sv-SE_18775049	You should stay away!	250	What do you know that?
1316  common_voice_sv-SE_18775049	You should stay away!	50	Whe athe the the athe the the athe the.
1316  common_voice_sv-SE_18775049	You should stay away!	1250	I will cook for you.
1316  common_voice_sv-SE_18775049	You should stay away!	750	It’s made of alligator skin.
1316  common_voice_sv-SE_18775049	You should stay away!	1000	When I leave to find so.
1316  common_voice_sv-SE_18775049	You should stay away!	500	What are you going to do now?
89  common_voice_sv-SE_18850261	We can not hear anything.	-	-
89  common_voice_sv-SE_18850261	We can not hear anything.	250	What do you know.
89  common_voice_sv-SE_18850261	We can not hear anything.	50	I I’s the the the the the.
89  common_voice_sv-SE_18850261	We can not hear anything.	1250	Why do you think here?
89  common_voice_sv-SE_18850261	We can not hear anything.	750	I will check that.
89  common_voice_sv-SE_18850261	We can not hear anything.	1000	Let me go home.
89  common_voice_sv-SE_18850261	We can not hear anything.	500	What are you doing?
1491  common_voice_sv-SE_18847657	Do you need a little help?	-	-
1491  common_voice_sv-SE_18847657	Do you need a little help?	250	What are you going?
1491  common_voice_sv-SE_18847657	Do you need a little help?	50	I I an’the the the the the the the the the.
1491  common_voice_sv-SE_18847657	Do you need a little help?	1250	Rambo in the more thing.
1491  common_voice_sv-SE_18847657	Do you need a little help?	750	It’s probably a time.
1491  common_voice_sv-SE_18847657	Do you need a little help?	1000	That is all!
1491  common_voice_sv-SE_18847657	Do you need a little help?	500	What are you going?
88  common_voice_sv-SE_18850260	There are two.	-	-
88  common_voice_sv-SE_18850260	There are two.	250	What are you going?
88  common_voice_sv-SE_18850260	There are two.	50	You an’the the the the the.
88  common_voice_sv-SE_18850260	There are two.	1250	It will speak now!
88  common_voice_sv-SE_18850260	There are two.	750	I will let you know.
88  common_voice_sv-SE_18850260	There are two.	1000	What do you know about women?
88  common_voice_sv-SE_18850260	There are two.	500	What are you doing here now?
1513  common_voice_sv-SE_18847711	Take your time.	-	-
1513  common_voice_sv-SE_18847711	Take your time.	250	What are you going?
1513  common_voice_sv-SE_18847711	Take your time.	50	I I an’the the the the the.
1513  common_voice_sv-SE_18847711	Take your time.	1250	You are disgusting.
1513  common_voice_sv-SE_18847711	Take your time.	750	I don’t want that!
1513  common_voice_sv-SE_18847711	Take your time.	1000	You don’t need to insist.
1513  common_voice_sv-SE_18847711	Take your time.	500	What are you doing?
1549  common_voice_sv-SE_18851023	You have a mission to accomplish.	-	-
1549  common_voice_sv-SE_18851023	You have a mission to accomplish.	250	What are you going?
1549  common_voice_sv-SE_18851023	You have a mission to accomplish.	50	I I an’the the the the the the athe the the.
1549  common_voice_sv-SE_18851023	You have a mission to accomplish.	1250	He’s not as careful now.
1549  common_voice_sv-SE_18851023	You have a mission to accomplish.	750	Is the old fridge broken?
1549  common_voice_sv-SE_18851023	You have a mission to accomplish.	1000	He tipped off the police.
1549  common_voice_sv-SE_18851023	You have a mission to accomplish.	500	What are you going to do now?
1539  common_voice_sv-SE_18847870	Don’t talk crap!	-	-
1539  common_voice_sv-SE_18847870	Don’t talk crap!	250	What are you going?
1539  common_voice_sv-SE_18847870	Don’t talk crap!	50	I I an’the the the the the.
1539  common_voice_sv-SE_18847870	Don’t talk crap!	1250	Look at my arm.
1539  common_voice_sv-SE_18847870	Don’t talk crap!	750	Do you know each other?
1539  common_voice_sv-SE_18847870	Don’t talk crap!	1000	Take it easy!
1539  common_voice_sv-SE_18847870	Don’t talk crap!	500	What are you going to do?
1528  common_voice_sv-SE_18847854	Push the bastard!	-	-
1528  common_voice_sv-SE_18847854	Push the bastard!	250	What are you going?
1528  common_voice_sv-SE_18847854	Push the bastard!	50	I I an’the the the the the.
1528  common_voice_sv-SE_18847854	Push the bastard!	1250	Come on, damn it!
1528  common_voice_sv-SE_18847854	Push the bastard!	750	This one is good.
1528  common_voice_sv-SE_18847854	Push the bastard!	1000	You don’t have any!
1528  common_voice_sv-SE_18847854	Push the bastard!	500	What are you going?
1527  common_voice_sv-SE_18847853	And yourself?	-	-
1527  common_voice_sv-SE_18847853	And yourself?	250	What do you want?
1527  common_voice_sv-SE_18847853	And yourself?	50	I I an’t the the the the.
1527  common_voice_sv-SE_18847853	And yourself?	1250	What do guys like?
1527  common_voice_sv-SE_18847853	And yourself?	750	What do you know?
1527  common_voice_sv-SE_18847853	And yourself?	1000	But what dest have?
1527  common_voice_sv-SE_18847853	And yourself?	500	Do you want to see?
1526  common_voice_sv-SE_18847852	Can I have his address?	-	-
1526  common_voice_sv-SE_18847852	Can I have his address?	250	What are you going?
1526  common_voice_sv-SE_18847852	Can I have his address?	50	I I an’the the the the the.
1526  common_voice_sv-SE_18847852	Can I have his address?	1250	Can I get weapons?
1526  common_voice_sv-SE_18847852	Can I have his address?	750	Isn’t life funny?
1526  common_voice_sv-SE_18847852	Can I have his address?	1000	Can I get weapons?
1526  common_voice_sv-SE_18847852	Can I have his address?	500	What are you going to do?
591  common_voice_sv-SE_19354323	But that doesn’t matter.	-	-
591  common_voice_sv-SE_19354323	But that doesn’t matter.	250	What are you going?
591  common_voice_sv-SE_19354323	But that doesn’t matter.	50	I I an’the the the the the.
591  common_voice_sv-SE_19354323	But that doesn’t matter.	1250	Don’t do it.
591  common_voice_sv-SE_19354323	But that doesn’t matter.	750	It was a quick decision.
591  common_voice_sv-SE_19354323	But that doesn’t matter.	1000	Don’t be mad at me.
591  common_voice_sv-SE_19354323	But that doesn’t matter.	500	What are you going to do?
1312  common_voice_sv-SE_18775044	It wasn’t possible.	-	-
1312  common_voice_sv-SE_18775044	It wasn’t possible.	250	You don’t know.
1312  common_voice_sv-SE_18775044	It wasn’t possible.	50	I I atous tous the the the the the the the.
1312  common_voice_sv-SE_18775044	It wasn’t possible.	1250	What do I want?
1312  common_voice_sv-SE_18775044	It wasn’t possible.	750	This is my office.
1312  common_voice_sv-SE_18775044	It wasn’t possible.	1000	What did you linke?
1312  common_voice_sv-SE_18775044	It wasn’t possible.	500	How are you feeling now?
1157  common_voice_sv-SE_18780612	That is good!	-	-
1157  common_voice_sv-SE_18780612	That is good!	250	What are you going?
1157  common_voice_sv-SE_18780612	That is good!	50	I I atoust tous the thingous athe the.
1157  common_voice_sv-SE_18780612	That is good!	1250	Can I do not know.
1157  common_voice_sv-SE_18780612	That is good!	750	It is me.
1157  common_voice_sv-SE_18780612	That is good!	1000	Can I get weapons?
1157  common_voice_sv-SE_18780612	That is good!	500	What are you going?
1304  common_voice_sv-SE_18775036	But it is okay.	-	-
1304  common_voice_sv-SE_18775036	But it is okay.	250	What are you going?
1304  common_voice_sv-SE_18775036	But it is okay.	50	I I atous tous the the the the athe the the.
1304  common_voice_sv-SE_18775036	But it is okay.	1250	What do I write?
1304  common_voice_sv-SE_18775036	But it is okay.	750	What do I write?
1304  common_voice_sv-SE_18775036	But it is okay.	1000	What are you going?
1304  common_voice_sv-SE_18775036	But it is okay.	500	What are you doing here?
209  common_voice_sv-SE_18748672	Dig me up.	-	-
209  common_voice_sv-SE_18748672	Dig me up.	250	What are you going?
209  common_voice_sv-SE_18748672	Dig me up.	50	I I atous the the the the.
209  common_voice_sv-SE_18748672	Dig me up.	1250	Go to help now.
209  common_voice_sv-SE_18748672	Dig me up.	750	I like it.
209  common_voice_sv-SE_18748672	Dig me up.	1000	Go to school.
209  common_voice_sv-SE_18748672	Dig me up.	500	What are you going to do?
421  common_voice_sv-SE_18762824	Go to his classroom.	-	-
421  common_voice_sv-SE_18762824	Go to his classroom.	250	What are you going?
421  common_voice_sv-SE_18762824	Go to his classroom.	50	I I an’the the the the the.
421  common_voice_sv-SE_18762824	Go to his classroom.	1250	Don’t fight it.
421  common_voice_sv-SE_18762824	Go to his classroom.	750	What are we going to do now?
421  common_voice_sv-SE_18762824	Go to his classroom.	1000	Don’t fight it.
421  common_voice_sv-SE_18762824	Go to his classroom.	500	What are you going to do?
1109  common_voice_sv-SE_18746424	Me too.	-	-
1109  common_voice_sv-SE_18746424	Me too.	250	What are you going?
1109  common_voice_sv-SE_18746424	Me too.	50	I I atous tous thathe the the athe the the.
1109  common_voice_sv-SE_18746424	Me too.	1250	Can I get weapon.
1109  common_voice_sv-SE_18746424	Me too.	750	It is so nice.
1109  common_voice_sv-SE_18746424	Me too.	1000	Can I get weapons?
1109  common_voice_sv-SE_18746424	Me too.	500	What are you doing here?
1095  common_voice_sv-SE_18858819	I stole everything you own.	-	-
1095  common_voice_sv-SE_18858819	I stole everything you own.	250	What doesn’t want to that take thing.
1095  common_voice_sv-SE_18858819	I stole everything you own.	50	I I’s the the the athe the the athe the the athe the the.
1095  common_voice_sv-SE_18858819	I stole everything you own.	1250	Yes, we girls would really want that.
1095  common_voice_sv-SE_18858819	I stole everything you own.	750	I can’t close my eyes when he sneaks in here.
1095  common_voice_sv-SE_18858819	I stole everything you own.	1000	Your butler will should be the way.
1095  common_voice_sv-SE_18858819	I stole everything you own.	500	I don’t know what have you would never not here?
1201  common_voice_sv-SE_18797087	He is having a baby.	-	-
1201  common_voice_sv-SE_18797087	He is having a baby.	250	What are you going?
1201  common_voice_sv-SE_18797087	He is having a baby.	50	I I tous the thathe the the the the the the.
1201  common_voice_sv-SE_18797087	He is having a baby.	1250	Come on, let’s leave.
1201  common_voice_sv-SE_18797087	He is having a baby.	750	Do you have a solid line?
1201  common_voice_sv-SE_18797087	He is having a baby.	1000	You know she drugged me.
1201  common_voice_sv-SE_18797087	He is having a baby.	500	What are you doing here?
1094  common_voice_sv-SE_18858818	Yes, I probably will.	-	-
1094  common_voice_sv-SE_18858818	Yes, I probably will.	250	You don’t know.
1094  common_voice_sv-SE_18858818	Yes, I probably will.	50	I I an’the tous the the the athe the the the athe the the the the be the the the the the the there be the be the thererere bererere bererererere therererererere.
1094  common_voice_sv-SE_18858818	Yes, I probably will.	1250	You can winch one work.
1094  common_voice_sv-SE_18858818	Yes, I probably will.	750	I have not been able to interrogate him yet.
1094  common_voice_sv-SE_18858818	Yes, I probably will.	1000	Yes, I think it loosened.
1094  common_voice_sv-SE_18858818	Yes, I probably will.	500	I don’t want you to stay anymore.
1072  common_voice_sv-SE_18858778	So what are you going to do after death?	-	-
1072  common_voice_sv-SE_18858778	So what are you going to do after death?	250	You don’t know.
1072  common_voice_sv-SE_18858778	So what are you going to do after death?	50	I I’s athe the the the the the athe the the athe the the there there be therere the the the the the the there the thererere berere therererere the therere bererere the.
1072  common_voice_sv-SE_18858778	So what are you going to do after death?	1250	The government who beat our chouse.
1072  common_voice_sv-SE_18858778	So what are you going to do after death?	750	You can’t watch over me all the time.
1072  common_voice_sv-SE_18858778	So what are you going to do after death?	1000	The government who beat our chief?
1072  common_voice_sv-SE_18858778	So what are you going to do after death?	500	The government will protent for them.
1062  common_voice_sv-SE_18858756	I made him call you.	-	-
1062  common_voice_sv-SE_18858756	I made him call you.	250	You’re not think with that there there.
1062  common_voice_sv-SE_18858756	I made him call you.	50	The the the the the the the the the the the.
1062  common_voice_sv-SE_18858756	I made him call you.	1250	I do not think that it is very good.
1062  common_voice_sv-SE_18858756	I made him call you.	750	I can’t close my eyes when he sneaks in here.
1062  common_voice_sv-SE_18858756	I made him call you.	1000	We can’t risk him recognizing you.
1062  common_voice_sv-SE_18858756	I made him call you.	500	I don’t want you to stay will be come.
1266  common_voice_sv-SE_18774998	Are you done?	-	-
1266  common_voice_sv-SE_18774998	Are you done?	250	What are you going?
1266  common_voice_sv-SE_18774998	Are you done?	50	Whe athe the toure the the is athe the ingous.
1266  common_voice_sv-SE_18774998	Are you done?	1250	What do I will?
1266  common_voice_sv-SE_18774998	Are you done?	750	That is my line.
1266  common_voice_sv-SE_18774998	Are you done?	1000	Do you want in?
1266  common_voice_sv-SE_18774998	Are you done?	500	What are you doing?
1221  common_voice_sv-SE_18770437	That was a lie.	-	-
1221  common_voice_sv-SE_18770437	That was a lie.	250	What do you know that?
1221  common_voice_sv-SE_18770437	That was a lie.	50	You an’the the the the the the athe the the athe the the.
1221  common_voice_sv-SE_18770437	That was a lie.	1250	Come on, let’s leave.
1221  common_voice_sv-SE_18770437	That was a lie.	750	Is everything okay?
1221  common_voice_sv-SE_18770437	That was a lie.	1000	Maybe we should redeem it.
1221  common_voice_sv-SE_18770437	That was a lie.	500	What are you doing here?
892  common_voice_sv-SE_19589169	Can you believe it?	-	-
892  common_voice_sv-SE_19589169	Can you believe it?	250	What do you have you?
892  common_voice_sv-SE_19589169	Can you believe it?	50	I I tous the the the the.
892  common_voice_sv-SE_19589169	Can you believe it?	1250	When I let?
892  common_voice_sv-SE_19589169	Can you believe it?	750	You are not like that.
